Year-Week,Year,Week,Date,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,Albania,Serbia,Andorra,Armenia,Georgia
2010-W01,2010,01,01/01/2010,"2,280","2,270","2,155","1,159",,403,,"8,205",,972,,,649,808,84,"2,721",,"2,767","1,557","7,662","2,345",,364,"1,000","1,029","1,899",39,3,886,"1,301",,109,,"2,118",9,,
2010-W02,2010,02,04/01/2010,"2,352","2,053","2,095","1,127",,314,,"8,640",,"1,041",,,635,876,86,"2,586",,"2,832","1,582","7,176","2,569",,321,996,976,"1,942",39,5,878,"1,280",,107,,"1,979",5,,
2010-W03,2010,03,11/01/2010,"2,303","2,281","2,200","1,120",,324,,"8,322",,"1,025",,,658,819,80,"2,433",,"2,848","1,573","7,320","2,225",,337,"1,097","1,003","1,865",42,2,807,"1,203",,99,,"2,078",9,,
2010-W04,2010,04,18/01/2010,"2,226","2,441","2,105","1,058",,357,,"8,063",,"1,092",,,663,902,73,"2,628",,"2,863","1,573","7,859","2,255",,376,"1,145","1,065","1,919",42,4,772,"1,252",,119,,"2,222",9,,
2010-W05,2010,05,25/01/2010,"2,248","2,525","2,167","1,102",,319,,"8,154",,"1,124",,,653,874,86,"2,699",,"2,861","1,544","7,372","2,277",,395,"1,103","1,031","1,848",29,3,842,"1,297",,93,,"2,138",4,,
2010-W06,2010,06,01/02/2010,"2,151","2,466","2,253","1,128",,337,,"7,954",,"1,076",,,648,827,77,"2,697",,"2,831","1,551","7,345","2,183",,352,"1,125","1,005","1,836",39,3,863,"1,245",,128,,"2,148",3,,
2010-W07,2010,07,08/02/2010,"2,260","2,332","2,193","1,135",,309,,"8,283",,"1,120",,,621,861,77,"2,593",,"2,900","1,598","7,410","2,534",,374,"1,045",977,"1,786",41,3,873,"1,427",,101,,"2,120",4,,
2010-W08,2010,08,15/02/2010,"2,210","2,173","2,161","1,177",,319,,"8,059",,"1,039",,,593,844,83,"2,597",,"2,930","1,647","7,250","2,503",,444,"1,009","1,008","1,813",30,4,915,"1,323",,108,,"2,058",5,,
2010-W09,2010,09,22/02/2010,"2,116","2,098","2,136","1,182",,285,,"7,471",,993,,,518,789,93,"2,464",,"2,756","1,554","7,023","2,275",,370,"1,006","1,028","1,874",36,10,841,"1,306",,101,,"1,936",7,,
2010-W10,2010,10,01/03/2010,"2,144","2,257","2,190","1,128",,335,,"7,498",,"1,019",,,607,877,74,"2,620",,"2,760","1,554","7,345","2,202",,373,"1,035","1,060","1,844",39,3,831,"1,366",,114,,"2,070",2,,
